iter	Passed	Remaining
292	727	1755
293	729	1751
294	731	1747
295	733	1743
296	735	1741
297	737	1738
298	739	1734
299	741	1730
300	743	1726
301	745	1722
302	747	1718
303	749	1715
304	751	1711
305	753	1708
306	755	1704
307	756	1700
308	758	1695
309	760	1691
310	761	1687
311	763	1683
312	765	1679
313	767	1676
314	768	1671
315	770	1668
316	772	1664
317	773	1659
318	775	1655
319	777	1651
320	779	1648
321	781	1645
322	783	1641
323	784	1637
324	786	1632
325	787	1628
326	789	1624
327	790	1620
328	792	1616
329	794	1612
330	796	1609
331	797	1605
332	799	1601
333	801	1597
334	802	1593
335	804	1589
336	806	1585
337	807	1581
338	809	1578
339	811	1574
340	812	1570
341	814	1567
342	816	1563
343	817	1559
344	820	1557
345	822	1553
346	823	1550
347	826	1547
348	827	1544
349	829	1540
350	832	1538
351	833	1534
352	835	1531
353	837	1527
354	838	1523
355	840	1520
356	842	1516
357	843	1513
358	845	1509
359	848	1507
360	849	1504
361	851	1500
362	853	1497
363	854	1493
364	856	1490
365	858	1487
366	860	1484
367	863	1483
368	865	1479
369	867	1476
370	868	1473
371	870	1470
372	873	1467
373	874	1464
374	876	1460
375	879	1459
376	881	1456
377	882	1452
378	884	1449
379	886	1446
380	888	1442
381	889	1439
382	891	1435
383	892	1432
384	895	1430
385	897	1427
386	899	1424
387	900	1421
388	903	1418
389	904	1414
390	906	1411
391	908	1409
392	911	1407
393	912	1404
394	914	1401
395	916	1398
396	918	1395
397	920	1392
398	923	1390
399	924	1387
400	927	1386
401	929	1383
402	931	1380
403	933	1377
404	936	1375
405	938	1372
406	940	1370
407	944	1371
408	947	1369
409	949	1366
410	951	1364
411	953	1360
412	955	1357
413	958	1356
414	960	1354
415	963	1351
416	964	1349
417	966	1346
418	969	1343
419	970	1340
420	972	1337
421	975	1335
422	977	1333
423	979	1330
424	980	1327
425	982	1323
426	984	1320
427	985	1317
428	987	1314
429	989	1311
430	991	1309
431	994	1306
432	995	1303
433	997	1300
434	999	1297
435	1000	1294
436	1002	1291
437	1003	1288
438	1007	1287
439	1009	1284
440	1011	1282
441	1013	1279
442	1015	1276
443	1016	1273
444	1018	1270
445	1020	1267
446	1022	1265
447	1024	1262
448	1026	1259
449	1027	1256
450	1029	1253
451	1031	1250
